"Archivo","Lineas"
"src\features\account\components\MyAccountPage.tsx","809"
"src\features\appointments\components\AppointmentsPage.tsx","683"
"src\features\orders\components\OrdersPage.tsx","579"
"src\features\dashboard\components\LandingPage.tsx","562"
"src\features\sales\components\SalesPage.tsx","461"
"src\features\dashboard\components\DashboardPage.tsx","380"
"src\features\auth\components\RegisterPage.tsx","364"
"src\features\sales\components\SaleInstallmentModal.tsx","355"
"src\features\payments\components\PaymentsPage.tsx","340"
"src\features\clients\components\ClientsPage.tsx","334"
"src\features\permissions\components\PermissionsPage.tsx","329"
"src\features\auth\components\ResetPasswordPage.tsx","321"
"src\features\users\components\UsersPage.tsx","278"
"src\features\calculator\components\CalculatorPage.tsx","265"
"src\features\account\hooks\useAccount.ts","258"
"src\features\services\components\ServicesPage.tsx","248"
"src\shared\components\ui\dropdown-menu.tsx","239"
"src\features\roles\components\RolesPage.tsx","224"
"src\features\auth\components\LoginPage.tsx","203"
"src\shared\components\AdminSidebar.tsx","196"
"src\App.tsx","185"
"src\shared\components\ui\command.tsx","179"
"src\shared\components\ui\select.tsx","171"
"src\shared\hooks\useOptions.ts","170"
"src\features\auth\components\RecoveryPage.tsx","166"
"src\shared\components\Combobox.tsx","164"
"src\shared\components\TimePicker.tsx","156"
"src\index.css","149"
"src\features\permissions\hooks\usePermissions.ts","142"
"src\shared\components\ui\alert-dialog.tsx","140"
"src\shared\components\DatePicker.tsx","127"
"src\shared\components\ui\dialog.tsx","125"
"src\shared\components\Pagination.tsx","106"
"src\shared\components\ui\table.tsx","104"
"src\features\payments\hooks\usePayments.ts","98"
"src\shared\components\ToggleSwitch.tsx","92"
"src\shared\components\FilterBar.tsx","88"
"src\features\auth\context\authContext.tsx","78"
"src\features\appointments\hooks\useAppointments.ts","77"
"src\features\auth\hooks\useSessionKeepAlive.ts","72"
"src\features\account\utils.ts","69"
"src\features\auth\utils\index.ts","68"
"src\shared\components\ViewDialog.tsx","68"
"src\features\auth\components\NotFoundPage.tsx","63"
"src\features\users\hooks\useUsers.ts","63"
"src\features\orders\hooks\useOrders.ts","61"
"src\shared\components\ui\alert.tsx","60"
"src\features\orders\utils\index.ts","57"
"src\shared\components\ui\tooltip.tsx","57"
"src\features\auth\hooks\useLogin.ts","55"
"src\shared\components\ui\button.tsx","55"
"src\features\appointments\utils\index.ts","53"
"src\shared\components\StatusSelect.tsx","53"
"src\shared\lib\bogotaTime.ts","53"
"src\features\sales\types\index.ts","52"
"src\shared\components\LegalDocumentModal.tsx","52"
"src\features\services\hooks\useServices.ts","51"
"src\shared\components\LegalDocumentContent.tsx","51"
"src\shared\lib\apiClient.ts","50"
"src\shared\lib\checkAuth.ts","48"
"src\features\sales\hooks\useSales.ts","48"
"src\shared\lib\undoableAction.ts","46"
"src\features\permissions\utils\index.ts","44"
"src\shared\components\SearchInput.tsx","44"
"src\features\clients\hooks\useClients.ts","43"
"src\features\auth\hooks\useRegister.ts","42"
"src\shared\components\ui\badge.tsx","41"
"src\features\roles\hooks\useRoles.ts","40"
"src\shared\components\ui\popover.tsx","40"
"src\shared\components\PasswordChecklist.tsx","39"
"src\features\calculator\hooks\useCalculator.ts","37"
"src\features\appointments\types\index.ts","36"
"src\shared\lib\formatDate.ts","36"
"src\shared\hooks\useBackendWakeup.ts","35"
"src\shared\lib\passwordValidation.ts","35"
"src\features\auth\hooks\useResetPassword.ts","35"
"src\shared\lib\tokenRefresh.ts","35"
"src\features\payments\utils\index.ts","34"
"src\features\dashboard\types\index.ts","32"
"src\shared\lib\withToast.ts","31"
"src\features\orders\types\index.ts","30"
"src\shared\components\FieldErrorTooltip.tsx","29"
"src\shared\hooks\usePagination.ts","29"
"src\shared\lib\validateDocumento.ts","29"
"src\features\account\types\index.ts","28"
"src\features\users\utils\index.ts","27"
"src\features\auth\hooks\useRecovery.ts","27"
"src\shared\components\ui\checkbox.tsx","27"
"src\shared\components\ui\switch.tsx","26"
"src\shared\lib\legalFormatting.tsx","26"
"src\shared\hooks\usePolling.ts","25"
"src\shared\components\ui\input.tsx","25"
"src\shared\components\ui\textarea.tsx","25"
"src\features\legal\components\LegalPageHeader.tsx","24"
"src\features\dashboard\hooks\useLanding.ts","24"
"src\features\dashboard\hooks\useDashboard.ts","23"
"src\features\sales\utils\index.ts","23"
"src\main.tsx","23"
"src\features\clients\utils\index.ts","22"
"src\shared\hooks\useLegalDocument.ts","22"
"src\shared\lib\formatCurrency.ts","22"
"src\features\payments\types\index.ts","22"
"src\features\auth\types\index.ts","21"
"src\shared\lib\validateNombre.ts","21"
"src\features\auth\components\AuthHeader.tsx","21"
"src\shared\components\ui\label.tsx","19"
"src\shared\types\legal.ts","19"
"src\features\users\types\index.ts","17"
"src\shared\components\CascadePreview.tsx","16"
"src\shared\components\EmptyState.tsx","16"
"src\shared\hooks\useMyPermissions.ts","16"
"src\shared\lib\validateTelefono.ts","16"
"src\features\legal\components\PoliticaPrivacidadPage.tsx","15"
"src\features\services\utils\index.ts","15"
"src\features\legal\components\TerminosServicioPage.tsx","15"
"vite.config.ts","14"
"src\features\clients\types\index.ts","14"
"src\shared\lib\validateEmail.ts","13"
"src\shared\lib\businessHours.ts","13"
"src\features\permissions\types\index.ts","13"
"src\features\orders\hooks\useEstadosServicio.ts","12"
"src\shared\hooks\useDebouncedValue.ts","12"
"src\shared\components\BackendWakeupBanner.tsx","11"
"src\features\roles\utils\index.ts","11"
"src\shared\components\ui\skeleton.tsx","11"
"src\features\calculator\utils\index.ts","11"
"src\features\auth\components\AuthLayout.tsx","10"
"src\features\services\types\index.ts","9"
"src\features\calculator\types\index.ts","9"
"src\features\roles\types\index.ts","8"
"src\vite-env.d.ts","7"
"src\features\dashboard\utils\index.ts","7"
"src\shared\lib\utils.ts","5"
